LinkedIn profile ID,Company name,Job title,Industry,ai_SENIORITY,Years in role,Years in company,Number of connections,Number of employees,Year founded,Hiring on LinkedIn,Six months headcount growth,Two years headcount growth,Yearly headcount growth,fe_seniority_ord,fe_type_of_contact_ord,fe_fit_approved,fe_fit_data_approved,fe_company_age,fe_log_employees,fe_company_size_bucket,fe_log_connections,fe_headcount_momentum,fe_has_email,fe_has_bio,fe_microsoft_flag,fe_department_encoded,ext_ms_maturity_score,ext_has_competitor_tech,nlp_report_length,nlp_has_momentum,nlp_urgency_score,nlp_embedding_01,nlp_embedding_02,nlp_embedding_03,nlp_topic,fe_tech_fit_comunica,fe_tech_fit_colabora,fe_tech_fit_infra,fe_tech_fit_ia,fe_tech_fit_data,fe_tech_fit_workplace,fe_tech_fit_maite
ACwAAA9LW4oBYMlOhPsoPA2wSVW7y5DyvaxdWtE,"Lladró, S.A.",jefe de prevencion,Retail Luxury Goods and Jewelry,LEAD,,,10.0,269.0,1953.0,1.0,,5.0,1.0,1.0,2,1.0,1.0,73.0,5.598421958998375,3.0,2.3978952727983707,1.3,0,0,1.0,0.14668276993314575,,,9416.0,0,2,15.9108,19.017138,-5.5669503,-1,,,,,,,
ACwAABeycU8Bs6iG3yOVHzTtdmh_eJhYi6lKa0U,Teltronic,Encargado área SMD,Telecommunications,LEAD,19.08,19.08,142.0,355.0,1974.0,0.0,,9.0,3.0,1.0,2,1.0,1.0,52.0,5.87493073085203,3.0,4.962844630259907,2.7,1,1,1.0,0.14232247013030247,,,7744.0,0,6,10.764045,6.3031316,5.2748647,-1,,,,,,,
ACwAAAokw5gBXQ739_JuWY8GRXlw4u0TSgJ-SgU,"Lladró, S.A.",CEO,Retail Luxury Goods and Jewelry,OWNER,0.17,0.17,511.0,269.0,1953.0,1.0,,5.0,1.0,,3,1.0,1.0,73.0,5.598421958998375,3.0,6.238324625039508,1.3,0,0,1.0,0.14668276993314575,,,9416.0,0,2,15.910533,19.017319,-5.5666924,-1,,,,,,,
ACwAAA93_J0BsiJlmh9dNLghdJXb_SVNYkOQYTc,Teltronic,Head of Manufacturing,Telecommunications,DIRECTOR,19.0,26.67,234.0,355.0,1974.0,0.0,,9.0,3.0,3.0,2,1.0,1.0,52.0,5.87493073085203,3.0,5.459585514144159,2.7,0,1,1.0,0.14232247013030247,,,7744.0,0,6,17.785414,-13.682401,-2.2298331,-1,,,,,,,
ACwAACWKv6YBqNPJ5wrI1Q4A9SE32TGlhxzewkk,Cemex España,Jefe,Building Materials,LEAD,,,7.0,265.0,1992.0,0.0,-1.0,17.0,0.0,1.0,0,1.0,1.0,34.0,5.583496308781699,3.0,2.0794415416798357,2.9000000000000004,0,0,1.0,0.1404710205445131,,,6924.0,0,3,1.4561836,-6.4869356,6.0548086,0,,,,,,,
ACwAAAGTj1gBm5J3xZYbC4vtjBOpI6GbcOGjhi0,Casa del Libro,Creative Director,Retail,DIRECTOR,,19.0,381.0,1492.0,1923.0,0.0,,62.0,23.0,3.0,2,1.0,1.0,103.0,7.30854279753919,4.0,5.945420608606575,19.3,0,1,1.0,0.15761884082178054,2.0,1.0,8011.0,0,4,2.0476737,-6.710378,6.2451625,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ACwAABii-9EBsJKKHw_feiCLuiTd8gkVrNStuJY,"Petronor, S.A.",Jefe de control de gestión y recursos financieros,Oil and Gas,LEAD,3.58,7.5,736.0,369.0,1968.0,0.0,,13.0,8.0,1.0,3,1.0,1.0,58.0,5.91350300563827,3.0,6.602587892189336,5.0,0,1,1.0,0.10853350576413913,,,10195.0,0,5,2.66501,7.255361,-7.622043,-1,,,,,,,
ACwAAAjQWMsB9nb79QGRLdviiFJTtUhK9zPyszk,Cemex España,Director Corporativo de Control de Procesos,Building Materials,DIRECTOR,,,0.0,265.0,1992.0,0.0,-1.0,17.0,0.0,3.0,2,1.0,1.0,34.0,5.583496308781699,3.0,0.0,2.9000000000000004,0,0,1.0,0.14232247013030247,,,6924.0,0,3,1.4562889,-6.4862127,6.0557632,0,,,,,,,
ACwAAC4clscBdGBiK2i-6UZWiEgnylD-1-stn8U,Casa del Libro,Jefe de sección,Retail,LEAD,,,7.0,1492.0,1923.0,0.0,,62.0,23.0,1.0,0,1.0,1.0,103.0,7.30854279753919,4.0,2.0794415416798357,19.3,0,0,1.0,0.14232247013030247,2.0,1.0,8011.0,0,4,2.0487113,-6.709866,6.244493,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ACwAAACU4eMBkX46Z3BYPq8-dXB_SoeBLg4e9NY,"Lladró, S.A.",Chief Executive Officer,Retail Luxury Goods and Jewelry,OWNER,16.5,,449.0,269.0,1953.0,1.0,,5.0,1.0,,3,1.0,1.0,73.0,5.598421958998375,3.0,6.1092475827643655,1.3,0,0,1.0,0.14668276993314575,,,9416.0,0,2,15.911544,19.016378,-5.5676975,-1,,,,,,,
